title,price,surface,rooms,baths,garages,private area,builded area,estrato,antiquity,price m2,administration
Apartamento en Venta Bello NIQUIA,$ 185.000.000,"104,00 m²",3,2,1,nan,"104,00m²",3,nan,1.778.846/m²,nan
Apartamento en Venta Bello NIQUIA,$ 155.000.000,"70,00 m²",3,1,nan,"70,00m²","70,00m²",3,9a15años,2.214.286/m²,"$69,000E"
Apartamento en Venta Bello Niquia ,$ 190.000.000,"56,00 m²",3,2,1,nan,"56,00m²",3,Menosde1año,3.392.857/m²,"$140,000"
Apartamento en Venta Bello La Cabañita,$ 240.000.000,"97,00 m²",3,2,1,nan,"97,00m²",4,9a15años,2.474.227/m²,nan
Apartamento en Venta Bello Norte America,$ 299.000.000,"85,00 m²",3,2,1,"101,00m²","85,00m²",4,Menosde1año,3.517.647/m²,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
Apartamento en Venta Bello Barrio obrero,$ 183.000.000,"68,00 m²",3,2,nan,nan,"68,00m²",nan,nan,2.691.176/m²,nan
MONTANA,Desde $ 562.600.000 Hasta $ 602.600.000,"126,14 m²",3,4,2,nan,"126,14m²",4,nan,nan,nan
Apartamento en Venta Bello paris,$ 83.000.000,"39,00 m²",2,1,nan,nan,"39,00m²",2,Menosde1año,2.128.205/m²,nan
Apartamento en Venta Bello La Cabañita,$ 240.000.000,"97,00 m²",3,2,1,nan,"97,00m²",4,9a15años,2.474.227/m²,nan
C26,Desde $ 190.250.000 Hasta $ 268.756.000,"47,50 a 71,42 m²",1,1,1,nan,"47,50a71,42m²",4,nan,nan,nan
Apartamento en Venta Bello prado,$ 202.508.000,"64,00 m²",3,2,1,"64,00m²","64,00m²",3,Menosde1año,3.164.188/m²,"$150,000"
Apartamento en Venta Bello La madera Bello,$ 172.000.000,"58,00 m²",2,2,nan,"58,00m²","58,00m²",3,1a8años,2.965.517/m²,"$116,950"
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
POBLADO NIQUÍA,Desde $ 229.850.000 Hasta $ 257.276.000,"70,76 a 78,69 m²",3,2,1,"62,85a69,91m²","70,76a78,69m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
POBLADO NIQUÍA,Desde $ 229.850.000 Hasta $ 257.276.000,"70,76 a 78,69 m²",3,2,1,"62,85a69,91m²","70,76a78,69m²",3,nan,nan,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
POBLADO NIQUÍA,Desde $ 229.850.000 Hasta $ 257.276.000,"70,76 a 78,69 m²",3,2,1,"62,85a69,91m²","70,76a78,69m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
Florida Norteamerica,Desde $ 186.460.000 Hasta $ 260.000.000,"56,92 a 89,63 m²",3,2,nan,nan,"56,92a89,63m²",3,nan,nan,nan
C26,Desde $ 190.250.000 Hasta $ 268.756.000,"47,50 a 71,42 m²",1,1,1,nan,"47,50a71,42m²",4,nan,nan,nan
Apartamento en Venta Bello Niquia,$ 180.000.000,"65,00 m²",3,1,nan,nan,"65,00m²",3,Menosde1año,2.769.231/m²,nan
Apartamento en Venta Bello Cumbres,$ 173.000.000,"76,00 m²",3,2,1,nan,"76,00m²",3,1a8años,2.276.316/m²,"$50,000E"
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
POBLADO NIQUÍA,Desde $ 229.850.000 Hasta $ 257.276.000,"70,76 a 78,69 m²",3,2,1,"62,85a69,91m²","70,76a78,69m²",3,nan,nan,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
Apartamento en Venta Bello BELLO,$ 180.000.000,"57,00 m²",3,1,1,"57,00m²","57,00m²",3,Menosde1año,3.157.895/m²,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
Apartamento en Venta Bello NORTEAMERICA,$ 275.000.000,"88,00 m²",3,2,1,nan,"88,00m²",4,1a8años,3.125.000/m²,"$198,000"
Apartamento en Venta Bello BELLO,$ 310.000.000,"70,00 m²",3,2,1,nan,"70,00m²",4,nan,4.428.571/m²,"$210,000"
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
Apartamento en Venta Bello BELLO,$ 242.000.000,"70,00 m²",3,2,1,nan,"70,00m²",nan,nan,3.457.143/m²,"$130,000"
