Price,Brand,Model,Version,Year,Milleage,Doors,Fuel,Shield,Color,Transmision,Direction,Traction,Only owner,Motor,Cylinders
28.700.000,Renault,Sandero,Sandero life,2018,20.730 km,5,Gasolina,EGK628,Blanco,Mecánica,Asistida,nan,nan,nan,nan
17.000.000,Renault,Sandero,Expression,2009,123.000 km,5,Gasolina,088,nan,Mecánica,nan,nan,nan,nan,nan
20.900.000,Renault,Sandero,Renault Sandero Expression,2012,71.000 km,5,Gasolina,DFR720,Blanco,Mecánica,Hidráulica,4x2,nan,nan,nan
21.700.000,Renault,Sandero,DINAMIQUE,2011,86.000 km,5,Gasolina,000000,GRISPLATA,Mecánica,Hidráulica,nan,nan,nan,nan
18.500.000,Renault,Sandero,Renault,2010,115.000 km,5,Gasolina,2,GrisPlatina,Mecánica,nan,nan,nan,nan,nan
19.000.000,Renault,Sandero,SANDERO,2012,74.000 km,4,Gasolina,DIL431,nan,Automática,nan,nan,Sí,nan,nan
28.000.000,Renault,Sandero,expression,2016,30.415 km,5,Gasolina,IOT 833,nan,Mecánica,nan,nan,nan,nan,nan
25.200.000,Renault,Sandero,DYNAMIQUE AT 1600CC 16V AA,2016,11.000 km,5,Gasolina,MFW-830,Gris,Automática,Hidráulica,4x2,nan,1600,4
39.500.000,Renault,Sandero,EXCLUSIVE,2018,12.737 km,5,Gasolina,EOS589,nan,Automática,nan,4x2,Sí,nan,nan
22.500.000,Renault,Sandero,Sandero,2013,65.000 km,5,Gasolina,Ncn476,nan,Mecánica,nan,nan,nan,nan,nan
32.800.000,Renault,Sandero,Automático,2017,32.000 km,4,Gasolina,INR178,nan,Automática,nan,nan,nan,nan,nan
27.500.000,Renault,Sandero,SANDERO GT LINE,2016,43.000 km,5,Gasolina,SABANETA,GRISCOMET,Mecánica,Hidráulica,4x2,nan,nan,nan
23.700.000,Renault,Sandero,SANDERO DINAMIQUE,2013,78.500 km,5,Gasolina,MFV635,nan,Mecánica,nan,nan,nan,nan,nan
28.500.000,Renault,Sandero,Dynamique,2016,55.000 km,5,Gasolina,Iyo,nan,Mecánica,nan,nan,nan,nan,nan
28.500.000,Renault,Sandero,Dynamique,2016,55.000 km,5,Gasolina,Iyo,nan,Mecánica,nan,nan,nan,nan,nan
22.000.000,Renault,Sandero,Sandero,2013,55.000 km,4,Gasolina,G,nan,Mecánica,nan,nan,nan,nan,nan
28.500.000,Renault,Sandero,dynamic,2016,52.000 km,5,Gasolina,IYO,Rojo,Mecánica,nan,nan,Sí,nan,nan
19.800.000,Renault,Sandero,Expression,2012,84.000 km,5,Gasolina,DHY737,GrisPlata,Mecánica,Hidráulica,4x2,nan,nan,nan
28.500.000,Renault,Sandero,Dynamic,2016,55.000 km,5,Gasolina,Iyo,nan,Mecánica,nan,nan,nan,nan,nan
