title,price,surface,rooms,baths,garages,private area,builded area,estrato,antiquity,price m2,administration
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja la ceja,$ 210.000.000,"68,00 m²",2,2,1,"68,00m²","68,00m²",4,Menosde1año,3.088.235/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 150.000.000,"61,00 m²",3,2,nan,"61,00m²","61,00m²",3,1a8años,2.459.016/m²,"$50,000E"
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja fatima,$ 181.027.200,"55,00 m²",2,2,nan,"55,00m²","55,00m²",4,Menosde1año,3.291.404/m²,"$120,000"
Apartamento en Venta La Ceja centro,$ 210.000.000,"71,00 m²",2,2,1,nan,"71,00m²",4,1a8años,2.957.746/m²,"$90,000E"
Edificio El Encanto,Desde $ 149.000.000 Hasta $ 173.000.000,"79,00 a 89,00 m²",3,2,nan,nan,"79,00a89,00m²",3,nan,nan,nan
Apartamento en Venta La Ceja LA CEJA,$ 220.000.000,"67,00 m²",2,2,1,"67,00m²","67,00m²",4,Menosde1año,3.283.582/m²,"$210,000"
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja juan pablo II,$ 151.000.000,"74,00 m²",3,2,nan,"74,00m²","74,00m²",3,1a8años,2.040.541/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 228.000.000,"64,00 m²",2,2,1,"64,00m²","64,00m²",4,Menosde1año,3.562.500/m²,"$167,000"
Apartamento en Venta La Ceja La Ceja,$ 290.000.000,"70,00 m²",3,2,1,"70,00m²","70,00m²",3,nan,4.142.857/m²,"$142,000"
Apartamento en Venta La Ceja Fray Eugenio,$ 140.000.000,"68,00 m²",1,2,nan,"68,00m²","68,00m²",3,1a8años,2.058.824/m²,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja centro,$ 190.000.000,"78,00 m²",3,2,1,"78,00m²","78,00m²",4,1a8años,2.435.897/m²,"$65,000E"
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja Confama,$ 145.000.000,"59,00 m²",3,2,nan,"59,00m²","59,00m²",3,1a8años,2.457.627/m²,nan
Apartamento en Venta La Ceja San Cayetano,$ 250.000.000,"104,00 m²",3,2,1,nan,"104,00m²",3,9a15años,2.403.846/m²,nan
Edificio El Encanto,Desde $ 149.000.000 Hasta $ 173.000.000,"79,00 a 89,00 m²",3,2,nan,nan,"79,00a89,00m²",3,nan,nan,nan
Apartamento en Venta La Ceja LA CEJA,$ 330.000.000,"85,00 m²",3,2,1,"85,00m²","85,00m²",4,Menosde1año,3.882.353/m²,nan
Apartamento en Venta La Ceja La Ceja,$ 160.000.000,"64,00 m²",3,2,nan,nan,"64,00m²",3,Menosde1año,2.500.000/m²,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja sector parque principal,$ 160.000.000,"84,00 m²",2,2,nan,nan,"84,00m²",3,1a8años,1.904.762/m²,nan
Apartamento en Venta La Ceja central,$ 200.000.000,"6.551,00 m²",2,2,nan,nan,"6.551,00m²",nan,nan,30.530/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 220.000.000,"63,00 m²",2,2,1,"63,00m²","63,00m²",4,Menosde1año,3.492.063/m²,nan
Apartamento en Venta La Ceja Centro,$ 155.000.000,"65,00 m²",3,2,nan,nan,"65,00m²",nan,nan,2.384.615/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 445.000.000,"130,00 m²",3,2,1,"153,00m²","130,00m²",4,1a8años,3.423.077/m²,"$172,000"
Apartamento en Venta La Ceja LA CEJA,$ 220.000.000,"110,00 m²",3,2,nan,nan,"110,00m²",4,nan,2.000.000/m²,nan
Apartamento en Venta La Ceja PARQUE PRINCIPAL,$ 270.000.000,"90,00 m²",3,2,1,"90,00m²","90,00m²",3,Menosde1año,3.000.000/m²,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja Cerca al Parque,$ 250.000.000,"80,00 m²",3,3,1,"80,00m²","80,00m²",3,1a8años,3.125.000/m²,"$155,000"
Apartamento en Venta La Ceja Porton de santa maria,$ 235.000.000,"103,00 m²",3,3,1,"103,00m²","103,00m²",4,Menosde1año,2.281.553/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 200.000.000,"7.141,00 m²",2,2,nan,nan,"7.141,00m²",4,nan,28.007/m²,nan
Apartamento en Venta La Ceja La Ceja,$ 190.000.000,"48,42 m²",1,1,nan,nan,"48,42m²",3,Menosde1año,3.923.998/m²,nan
Apartamento en Venta La Ceja La Ceja,$ 160.000.000,"66,00 m²",3,2,nan,nan,"66,00m²",3,1a8años,2.424.242/m²,nan
Apartamento en Venta La Ceja la cruz,$ 137.000.000,"56,00 m²",3,2,nan,"56,00m²","56,00m²",3,1a8años,2.446.429/m²,"$20,000E"
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja fatima,$ 181.027.200,"55,00 m²",2,2,nan,"55,00m²","55,00m²",4,Menosde1año,3.291.404/m²,"$120,000"
Apartamento en Venta La Ceja LA CEJA,$ 157.000.000,"60,00 m²",2,2,nan,"60,00m²","60,00m²",3,Menosde1año,2.616.667/m²,nan
Edificio El Encanto,Desde $ 149.000.000 Hasta $ 173.000.000,"79,00 a 89,00 m²",3,2,nan,nan,"79,00a89,00m²",3,nan,nan,nan
Apartamento en Venta La Ceja la ceja,$ 210.000.000,"68,00 m²",2,2,1,"68,00m²","68,00m²",4,Menosde1año,3.088.235/m²,nan
Apartamento en Venta La Ceja La Ceja,$ 285.000.000,"70,00 m²",3,2,nan,nan,"70,00m²",5,Menosde1año,4.071.429/m²,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja La Ceja,$ 180.000.000,"62,00 m²",2,2,1,nan,"62,00m²",3,Menosde1año,2.903.226/m²,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja Fátima ,$ 250.000.000,"114,00 m²",2,2,1,nan,"114,00m²",3,1a8años,2.192.982/m²,"$134,000"
Apartamento en Venta La Ceja LA CEJA,$ 295.000.000,"85,00 m²",3,3,2,"85,00m²","85,00m²",4,1a8años,3.470.588/m²,"$193,000"
Apartamento en Venta La Ceja Centro,$ 200.000.000,"65,00 m²",2,2,1,"65,00m²","65,00m²",4,1a8años,3.076.923/m²,"$124,000"
Apartamento en Venta La Ceja LA CEJA,$ 210.000.000,"115,00 m²",5,2,nan,"115,00m²","115,00m²",3,Menosde1año,1.826.087/m²,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja LA CEJA,$ 225.000.000,"70,00 m²",2,2,1,"70,00m²","70,00m²",4,Menosde1año,3.214.286/m²,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja Fátima,$ 220.000.000,"60,00 m²",2,2,1,"60,00m²","60,00m²",4,Menosde1año,3.666.667/m²,"$164,000"
Apartamento en Venta La Ceja LA CEJA,$ 345.000.000,"105,00 m²",3,2,1,"105,00m²","105,00m²",4,Menosde1año,3.285.714/m²,"$230,000"
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja URBANIZACIÓN ROSALES,$ 155.000.000,"64,00 m²",3,2,1,nan,"64,00m²",3,1a8años,2.421.875/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 250.000.000,"70,00 m²",2,2,1,"70,00m²","70,00m²",4,1a8años,3.571.429/m²,"$200,020"
Edificio El Encanto,Desde $ 149.000.000 Hasta $ 173.000.000,"79,00 a 89,00 m²",3,2,nan,nan,"79,00a89,00m²",3,nan,nan,nan
Apartamento en Venta La Ceja LA CEJA,$ 235.000.000,"60,00 m²",2,2,nan,"60,00m²","60,00m²",4,Menosde1año,3.916.667/m²,"$178,182"
Apartamento en Venta La Ceja PAYUCO,$ 250.000.000,"125,00 m²",3,3,nan,"125,00m²","125,00m²",3,1a8años,2.000.000/m²,nan
Apartamento en Venta La Ceja Maderos,$ 135.000.000,"56,00 m²",2,2,nan,nan,"56,00m²",3,1a8años,2.410.714/m²,"$110,000"
Apartamento en Venta La Ceja LA CEJA,$ 180.000.000,"58,00 m²",2,2,1,"58,00m²","58,00m²",3,1a8años,3.103.448/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 257.000.000,"59,00 m²",2,2,1,"59,00m²","59,00m²",4,1a8años,4.355.932/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 240.000.000,"60,00 m²",2,1,1,"60,00m²","60,00m²",4,1a8años,4.000.000/m²,nan
Apartamento en Venta La Ceja La Ceja,$ 285.000.000,"105,00 m²",3,2,nan,nan,"105,00m²",4,1a8años,2.714.286/m²,"$237,913"
Apartamento en Venta La Ceja Girasoles del Tambo,$ 168.000.000,"56,00 m²",3,2,1,"56,00m²","56,00m²",3,nan,3.000.000/m²,nan
Apartamento en Venta La Ceja centro ,$ 200.000.000,"78,00 m²",3,2,1,nan,"78,00m²",4,1a8años,2.564.103/m²,"$60,000E"
Apartamento en Venta La Ceja Centro,$ 160.000.000,"84,00 m²",2,2,nan,"84,00m²","84,00m²",3,1a8años,1.904.762/m²,nan
